# AlifeAmbience file audit - every file checked with ffprobe (rate/channels/duration) + ffmpeg astats (peak dB)
# run start: 2026-08-06 05:40:23
checked_at	set	taken	path	rate	channels	dur_s	peak_dB	verdict
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/20.ogg	44100	2	14.460317	-28.553736	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/24.ogg	44100	2	5.083243	-33.841123	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/25.ogg	44100	2	1.971270	-27.570029	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/21.ogg	44100	2	14.460317	-24.550783	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/26.ogg	44100	2	1.983016	-29.904992	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/22.ogg	44100	2	14.460317	-28.798775	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/27.ogg	44100	2	1.600000	-33.950597	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/23.ogg	44100	2	14.460317	-19.317093	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/28.ogg	44100	2	1.883265	-31.578630	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/29.ogg	44100	2	2.013515	-32.024088	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/3.ogg	44100	2	1.090658	-26.015516	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/30.ogg	44100	2	1.916417	-31.532532	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/31.ogg	44100	2	1.927846	-32.230343	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/4.ogg	44100	2	2.314671	-26.167045	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/5.ogg	44100	2	1.471973	-35.522605	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/6.ogg	44100	2	2.258639	-35.199233	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/7.ogg	44100	2	3.474671	-21.980685	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/8.ogg	44100	2	2.413333	-21.848817	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/9.ogg	44100	2	2.527143	-24.295920	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/10.ogg	44100	2	14.460317	-24.159212	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/11.ogg	44100	2	14.460317	-25.613193	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/1.ogg	44100	2	14.460317	-25.406663	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/12.ogg	44100	2	14.460317	-21.688029	OK
05:40:35	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/13.ogg	44100	2	14.460317	-23.541976	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/14.ogg	44100	2	14.460317	-22.738920	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/15.ogg	44100	2	14.460317	-28.835575	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/16.ogg	44100	2	14.460317	-18.845284	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/17.ogg	44100	2	7.421383	-28.592706	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/18.ogg	44100	2	6.044240	-28.986652	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/19.ogg	44100	2	9.959592	-23.768816	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/20.ogg	44100	2	10.013900	-18.677388	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/21.ogg	44100	2	2.800000	-29.218832	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/2.ogg	44100	2	14.460317	-28.303431	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/22.ogg	44100	2	2.218662	-31.810289	OK
05:40:36	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/23.ogg	44100	2	4.146803	-22.922250	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/24.ogg	44100	2	14.460317	-20.872046	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/27.ogg	44100	2	7.080249	-19.820617	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/25.ogg	44100	2	16.000000	-17.679632	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/29.ogg	44100	2	8.151270	-32.467393	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/28.ogg	44100	2	11.233719	-33.025025	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/26.ogg	44100	2	20.447256	-22.136327	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/30.ogg	44100	2	2.658685	-30.604038	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/3.ogg	44100	2	14.460317	-26.719171	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/33.ogg	44100	2	1.320000	-11.012287	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/34.ogg	44100	2	1.320000	-11.569686	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/31.ogg	44100	2	8.020658	-20.514842	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/35.ogg	44100	2	3.193651	-24.504093	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/32.ogg	44100	2	15.230454	-28.425199	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/36.ogg	44100	2	4.477279	-21.258864	OK
05:40:37	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/37.ogg	44100	2	9.318639	-26.992730	OK
05:40:38	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/38.ogg	44100	2	9.178390	-23.050843	OK
05:40:38	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/41.ogg	44100	2	1.971270	-26.635981	OK
05:40:38	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/42.ogg	44100	2	1.983039	-29.900611	OK
05:40:38	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/43.ogg	44100	2	1.600000	-34.024835	OK
05:40:38	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/4.ogg	44100	2	14.460317	-25.396582	OK
05:40:38	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/39.ogg	44100	2	14.868730	-37.521499	OK
05:40:38	DEPLOYED	YES	gamedata/sounds/zs/aa_out_day_spoops/44.ogg	44100	2	1.883265	-30.496370	OK
