pack	file	status
DarkSigWeather	ambient/sfx_amb_wind_tat_a_loop.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_10.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_11.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_12.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_13.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_14.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_15.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_16.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_17.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_18.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_19.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_20.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_21.ogg	off-scope-or-dup
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_22.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_23.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_24.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_25.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_26.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_27.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_28.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_29.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_30.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_31.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_32.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_33.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_34.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_35.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_36.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_37.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_38.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_39.ogg	BASE-DUP-excluded
