deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\drip\all\sound_02_5531cade71	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_02	4.617
zs\drip\all\sound_03_36b3959e1c	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_03	4.617
zs\drip\all\sound_04_b4c90e4955	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_04	4.617
zs\drip\all\sound_05_19d8da6287	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_05	4.355
zs\drip\all\sound_06_640df88b9d	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_06	4.617
zs\drip\all\sound_07_e994cae9d7	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_07	4.617
zs\drip\all\sound_08_43aa301083	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_08	4.617
zs\drone\all\sound_01_9a1de4f754	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_01	4.091
zs\drone\all\sound_02_7819f7ef36	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_02	4.08
zs\drone\all\sound_03_dee2311360	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_03	4.31
zs\drone\all\sound_04_4f0b588b40	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_04	4.08
zs\drone\all\sound_04_9a331e2c64	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_04	1.0
zs\drone\all\sound_05_cdfbe38000	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_05	4.08
zs\drone\all\sound_05_721636fb50	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_05	1.0
zs\drone\all\sound_06_f04662296f	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_06	4.08
zs\drone\all\sound_07_b5cade6f3d	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_07	4.734
zs\drone\all\sound_08_ed88c836ae	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_08	4.08
